Date,Agri Spot (U$)
2014-01-01 00:00:00,200.399
2014-02-01 00:00:00,201.583
2014-03-01 00:00:00,221.079
2014-04-01 00:00:00,233.772
2014-05-01 00:00:00,236.51
2014-06-01 00:00:00,214.915
2014-07-01 00:00:00,201.409
2014-08-01 00:00:00,188.486
2014-09-01 00:00:00,190.507
2014-10-01 00:00:00,173.713
2014-11-01 00:00:00,191.032
2014-12-01 00:00:00,195.542
2015-01-01 00:00:00,190.917
2015-02-01 00:00:00,176.57
2015-03-01 00:00:00,178.786
2015-04-01 00:00:00,178.676
2015-05-01 00:00:00,171.362
2015-06-01 00:00:00,169.646
2015-07-01 00:00:00,188.25
2015-08-01 00:00:00,170.311
2015-09-01 00:00:00,166.239
2015-10-01 00:00:00,171.256
2015-11-01 00:00:00,174.261
2015-12-01 00:00:00,168.467
2016-01-01 00:00:00,165.812
2016-02-01 00:00:00,165.925
2016-03-01 00:00:00,161.183
2016-04-01 00:00:00,167.877
2016-05-01 00:00:00,177.418
2016-06-01 00:00:00,184.091
2016-07-01 00:00:00,179.832
2016-08-01 00:00:00,166.994
2016-09-01 00:00:00,160.807
2016-10-01 00:00:00,163.876
2016-11-01 00:00:00,170.246
2016-12-01 00:00:00,163.497
2017-01-01 00:00:00,167.066
2017-02-01 00:00:00,177.325
2017-03-01 00:00:00,177.252
2017-04-01 00:00:00,169.491
2017-05-01 00:00:00,172.539
2017-06-01 00:00:00,169.866
2017-07-01 00:00:00,180.544
2017-08-01 00:00:00,172.625
2017-09-01 00:00:00,161.376
2017-10-01 00:00:00,163.952
2017-11-01 00:00:00,168.52
2017-12-01 00:00:00,168.439
2018-01-01 00:00:00,165.198
2018-02-01 00:00:00,169.28
2018-03-01 00:00:00,179.082
2018-04-01 00:00:00,170.138
2018-05-01 00:00:00,177.993
2018-06-01 00:00:00,179.581
2018-07-01 00:00:00,160.004
2018-08-01 00:00:00,170.543
2018-09-01 00:00:00,164.431
2018-10-01 00:00:00,163.166
2018-11-01 00:00:00,170.922
2018-12-01 00:00:00,169.963
2019-01-01 00:00:00,164.8
2019-02-01 00:00:00,169.575
2019-03-01 00:00:00,161.986
2019-04-01 00:00:00,163.862
2019-05-01 00:00:00,158.162
2019-06-01 00:00:00,174.552
2019-07-01 00:00:00,170.193
2019-08-01 00:00:00,162.936
2019-09-01 00:00:00,156.112
2019-10-01 00:00:00,166.425
2019-11-01 00:00:00,170.719
2019-12-01 00:00:00,169.682
2020-01-01 00:00:00,176.671
2020-02-01 00:00:00,171.862
2020-03-01 00:00:00,168.283
2020-04-01 00:00:00,156.77
2020-05-01 00:00:00,152.006
2020-06-01 00:00:00,152.876
2020-07-01 00:00:00,156.907
2020-08-01 00:00:00,158.775
2020-09-01 00:00:00,169.125
2020-10-01 00:00:00,176.313
2020-11-01 00:00:00,185.118
2020-12-01 00:00:00,188.497
2021-01-01 00:00:00,209.135
2021-02-01 00:00:00,218.651
2021-03-01 00:00:00,220.332
2021-04-01 00:00:00,216.895
2021-05-01 00:00:00,246.524
2021-06-01 00:00:00,237.464
2021-07-01 00:00:00,232.177
2021-08-01 00:00:00,233.592
2021-09-01 00:00:00,230.313
2021-10-01 00:00:00,234.27
2021-11-01 00:00:00,244.423
2021-12-01 00:00:00,243.552
2022-01-01 00:00:00,251.916
2022-02-01 00:00:00,261.459
2022-03-01 00:00:00,294.393
2022-04-01 00:00:00,292.405
2022-05-01 00:00:00,304.595
2022-06-01 00:00:00,295.667
2022-07-01 00:00:00,264.372
2022-08-01 00:00:00,255.307
2022-09-01 00:00:00,260.519
2022-10-01 00:00:00,269.492
2022-11-01 00:00:00,276.032
2022-12-01 00:00:00,261.848
2023-01-01 00:00:00,272.118
2023-02-01 00:00:00,269.443
2023-03-01 00:00:00,262.362
2023-04-01 00:00:00,260.088
2023-05-01 00:00:00,248.166
2023-06-01 00:00:00,233.636
2023-07-01 00:00:00,238.926
2023-08-01 00:00:00,246.752
2023-09-01 00:00:00,238.926
2023-10-01 00:00:00,234.182
2023-11-01 00:00:00,234.431
2023-12-01 00:00:00,232.888
2024-01-01 00:00:00,228.351
2024-02-01 00:00:00,226.819
2024-03-01 00:00:00,215.162
2024-04-01 00:00:00,221.763
2024-05-01 00:00:00,222.596
