Date,CBI (U$/BBL)
2014-01-01 00:00:00,18.2
2014-02-01 00:00:00,15.5
2014-03-01 00:00:00,10.8
2014-04-01 00:00:00,4.1
2014-05-01 00:00:00,-6.4
2014-06-01 00:00:00,-15.1
2014-07-01 00:00:00,-17.4
2014-08-01 00:00:00,-23
2014-09-01 00:00:00,-30.4
2014-10-01 00:00:00,-37.9
2014-11-01 00:00:00,-44
2014-12-01 00:00:00,-42.5
2015-01-01 00:00:00,-38.5
2015-02-01 00:00:00,-34.1
2015-03-01 00:00:00,-30.9
2015-04-01 00:00:00,-25.5
2015-05-01 00:00:00,-25.5
2015-06-01 00:00:00,-29.2
2015-07-01 00:00:00,-22.6
2015-08-01 00:00:00,-19.5
2015-09-01 00:00:00,-20.9
2015-10-01 00:00:00,-7.5
2015-11-01 00:00:00,-12.3
2015-12-01 00:00:00,-10.3
2016-01-01 00:00:00,-4.1
2016-02-01 00:00:00,-14.9
2016-03-01 00:00:00,-18.7
2016-04-01 00:00:00,-25
2016-05-01 00:00:00,-39.6
2016-06-01 00:00:00,-39.6
2016-07-01 00:00:00,-38.3
2016-08-01 00:00:00,-43.8
2016-09-01 00:00:00,-41.4
2016-10-01 00:00:00,-41.3
2016-11-01 00:00:00,-24.1
2016-12-01 00:00:00,-20.8
2017-01-01 00:00:00,-12.1
2017-02-01 00:00:00,6.7
2017-03-01 00:00:00,22
2017-04-01 00:00:00,29.5
2017-05-01 00:00:00,28.6
2017-06-01 00:00:00,30.2
2017-07-01 00:00:00,34.5
2017-08-01 00:00:00,42
2017-09-01 00:00:00,44.9
2017-10-01 00:00:00,44.4
2017-11-01 00:00:00,40.8
2017-12-01 00:00:00,45.1
2018-01-01 00:00:00,49
2018-02-01 00:00:00,58.9
2018-03-01 00:00:00,47
2018-04-01 00:00:00,44.1
2018-05-01 00:00:00,38.6
2018-06-01 00:00:00,36
2018-07-01 00:00:00,36.2
2018-08-01 00:00:00,29.6
2018-09-01 00:00:00,28.4
2018-10-01 00:00:00,25.8
2018-11-01 00:00:00,20.4
2018-12-01 00:00:00,25
2019-01-01 00:00:00,23.4
2019-02-01 00:00:00,25.5
2019-03-01 00:00:00,22.9
2019-04-01 00:00:00,20.4
2019-05-01 00:00:00,14.7
2019-06-01 00:00:00,4.9
2019-07-01 00:00:00,-10.7
2019-08-01 00:00:00,-7
2019-09-01 00:00:00,-17.8
2019-10-01 00:00:00,-22.1
2019-11-01 00:00:00,-17.6
2019-12-01 00:00:00,-18.4
2020-01-01 00:00:00,-17.7
2020-02-01 00:00:00,-2.6
2020-03-01 00:00:00,-9.4
2020-04-01 00:00:00,-66.3
2020-05-01 00:00:00,-58.6
2020-06-01 00:00:00,-47
2020-07-01 00:00:00,-20
2020-08-01 00:00:00,-6.3
2020-09-01 00:00:00,-1
2020-10-01 00:00:00,8.3
2020-11-01 00:00:00,14.4
2020-12-01 00:00:00,27.9
2021-01-01 00:00:00,44.2
2021-02-01 00:00:00,51.4
2021-03-01 00:00:00,59.5
2021-04-01 00:00:00,65.8
2021-05-01 00:00:00,72.3
2021-06-01 00:00:00,72
2021-07-01 00:00:00,67.6
2021-08-01 00:00:00,65.1
2021-09-01 00:00:00,63
2021-10-01 00:00:00,58.5
2021-11-01 00:00:00,49.5
2021-12-01 00:00:00,56.2
2022-01-01 00:00:00,57.5
2022-02-01 00:00:00,53.1
2022-03-01 00:00:00,30.2
2022-04-01 00:00:00,19.9
2022-05-01 00:00:00,15.6
2022-06-01 00:00:00,13.2
2022-07-01 00:00:00,17.9
2022-08-01 00:00:00,18.1
2022-09-01 00:00:00,13.3
2022-10-01 00:00:00,12.1
2022-11-01 00:00:00,22.8
2022-12-01 00:00:00,29.7
2023-01-01 00:00:00,29.7
2023-02-01 00:00:00,35.8
2023-03-01 00:00:00,24.4
2023-04-01 00:00:00,15.8
2023-05-01 00:00:00,11.4
2023-06-01 00:00:00,0.6
2023-07-01 00:00:00,-6.9
2023-08-01 00:00:00,-21.7
2023-09-01 00:00:00,-31.4
2023-10-01 00:00:00,-31.9
2023-11-01 00:00:00,-39.7
2023-12-01 00:00:00,-47.5
2024-01-01 00:00:00,-49.5
2024-02-01 00:00:00,-51.7
2024-03-01 00:00:00,-54.6
2024-04-01 00:00:00,-56.6
2024-05-01 00:00:00,-50.6
