Date,CBIPS (U$/BBL)
2014-01-01 00:00:00,22.4
2014-02-01 00:00:00,14.4
2014-03-01 00:00:00,12.4
2014-04-01 00:00:00,9.2
2014-05-01 00:00:00,0
2014-06-01 00:00:00,-5.8
2014-07-01 00:00:00,-10.5
2014-08-01 00:00:00,-17.5
2014-09-01 00:00:00,-30.9
2014-10-01 00:00:00,-36.8
2014-11-01 00:00:00,-37.4
2014-12-01 00:00:00,-44
2015-01-01 00:00:00,-36.8
2015-02-01 00:00:00,-32.9
2015-03-01 00:00:00,-34.8
2015-04-01 00:00:00,-32.7
2015-05-01 00:00:00,-32.4
2015-06-01 00:00:00,-37.5
2015-07-01 00:00:00,-30.8
2015-08-01 00:00:00,-27.8
2015-09-01 00:00:00,-32.7
2015-10-01 00:00:00,-21.8
2015-11-01 00:00:00,-33
2015-12-01 00:00:00,-27.8
2016-01-01 00:00:00,-18.2
2016-02-01 00:00:00,-27.6
2016-03-01 00:00:00,-33
2016-04-01 00:00:00,-33
2016-05-01 00:00:00,-46.5
2016-06-01 00:00:00,-44.5
2016-07-01 00:00:00,-47.1
2016-08-01 00:00:00,-47.7
2016-09-01 00:00:00,-53.3
2016-10-01 00:00:00,-52.4
2016-11-01 00:00:00,-41.8
2016-12-01 00:00:00,-33.3
2017-01-01 00:00:00,-25
2017-02-01 00:00:00,-6.3
2017-03-01 00:00:00,7.4
2017-04-01 00:00:00,15.3
2017-05-01 00:00:00,14.8
2017-06-01 00:00:00,17.4
2017-07-01 00:00:00,18.7
2017-08-01 00:00:00,22.9
2017-09-01 00:00:00,30.3
2017-10-01 00:00:00,35.2
2017-11-01 00:00:00,33.7
2017-12-01 00:00:00,39.8
2018-01-01 00:00:00,45.1
2018-02-01 00:00:00,51.5
2018-03-01 00:00:00,35.9
2018-04-01 00:00:00,40.9
2018-05-01 00:00:00,36.6
2018-06-01 00:00:00,38.7
2018-07-01 00:00:00,34.3
2018-08-01 00:00:00,30.1
2018-09-01 00:00:00,28.9
2018-10-01 00:00:00,30.5
2018-11-01 00:00:00,28
2018-12-01 00:00:00,31.6
2019-01-01 00:00:00,26
2019-02-01 00:00:00,31.8
2019-03-01 00:00:00,24
2019-04-01 00:00:00,21.5
2019-05-01 00:00:00,22.1
2019-06-01 00:00:00,7.6
2019-07-01 00:00:00,-6.1
2019-08-01 00:00:00,3.8
2019-09-01 00:00:00,-13.3
2019-10-01 00:00:00,-16.3
2019-11-01 00:00:00,-19.1
2019-12-01 00:00:00,-18.9
2020-01-01 00:00:00,-14.1
2020-02-01 00:00:00,-3.1
2020-03-01 00:00:00,-5
2020-04-01 00:00:00,-51.5
2020-05-01 00:00:00,-47.6
2020-06-01 00:00:00,-46.5
2020-07-01 00:00:00,-15
2020-08-01 00:00:00,1
2020-09-01 00:00:00,3.9
2020-10-01 00:00:00,7.3
2020-11-01 00:00:00,20.2
2020-12-01 00:00:00,30.8
2021-01-01 00:00:00,42.4
2021-02-01 00:00:00,49.1
2021-03-01 00:00:00,58.7
2021-04-01 00:00:00,67.4
2021-05-01 00:00:00,71
2021-06-01 00:00:00,69.9
2021-07-01 00:00:00,77.9
2021-08-01 00:00:00,70.9
2021-09-01 00:00:00,63
2021-10-01 00:00:00,62.8
2021-11-01 00:00:00,57.7
2021-12-01 00:00:00,63.9
2022-01-01 00:00:00,66.7
2022-02-01 00:00:00,62.1
2022-03-01 00:00:00,37.2
2022-04-01 00:00:00,25
2022-05-01 00:00:00,22.9
2022-06-01 00:00:00,13.2
2022-07-01 00:00:00,15.8
2022-08-01 00:00:00,23.1
2022-09-01 00:00:00,13.3
2022-10-01 00:00:00,14.1
2022-11-01 00:00:00,27.8
2022-12-01 00:00:00,29.7
2023-01-01 00:00:00,28.6
2023-02-01 00:00:00,34.7
2023-03-01 00:00:00,17
2023-04-01 00:00:00,12.2
2023-05-01 00:00:00,10.2
2023-06-01 00:00:00,3.3
2023-07-01 00:00:00,-8.5
2023-08-01 00:00:00,-19.3
2023-09-01 00:00:00,-21.2
2023-10-01 00:00:00,-20.5
2023-11-01 00:00:00,-35.9
2023-12-01 00:00:00,-38.4
2024-01-01 00:00:00,-40.2
2024-02-01 00:00:00,-46.7
2024-03-01 00:00:00,-52.6
2024-04-01 00:00:00,-58.2
2024-05-01 00:00:00,-55.2
