Date,Oil Price (U$/BBL)
2014-01-01 00:00:00,98.04
2014-02-01 00:00:00,96.43
2014-03-01 00:00:00,104.92
2014-04-01 00:00:00,99.74
2014-05-01 00:00:00,99.42
2014-06-01 00:00:00,102.47
2014-07-01 00:00:00,105.34
2014-08-01 00:00:00,97.88
2014-09-01 00:00:00,95.96
2014-10-01 00:00:00,90.73
2014-11-01 00:00:00,78.78
2014-12-01 00:00:00,69
2015-01-01 00:00:00,53.27
2015-02-01 00:00:00,49.57
2015-03-01 00:00:00,49.59
2015-04-01 00:00:00,50.09
2015-05-01 00:00:00,59.15
2015-06-01 00:00:00,60.2
2015-07-01 00:00:00,56.96
2015-08-01 00:00:00,45.17
2015-09-01 00:00:00,45.41
2015-10-01 00:00:00,44.74
2015-11-01 00:00:00,46.14
2015-12-01 00:00:00,41.85
2016-01-01 00:00:00,37.04
2016-02-01 00:00:00,31.62
2016-03-01 00:00:00,34.4
2016-04-01 00:00:00,36.79
2016-05-01 00:00:00,44.78
2016-06-01 00:00:00,49.01
2016-07-01 00:00:00,48.99
2016-08-01 00:00:00,40.06
2016-09-01 00:00:00,43.16
2016-10-01 00:00:00,48.81
2016-11-01 00:00:00,46.67
2016-12-01 00:00:00,51.06
2017-01-01 00:00:00,53.72
2017-02-01 00:00:00,53.88
2017-03-01 00:00:00,53.83
2017-04-01 00:00:00,50.24
2017-05-01 00:00:00,48.84
2017-06-01 00:00:00,48.36
2017-07-01 00:00:00,46.04
2017-08-01 00:00:00,49.16
2017-09-01 00:00:00,47.29
2017-10-01 00:00:00,50.58
2017-11-01 00:00:00,54.3
2017-12-01 00:00:00,58.36
2018-01-01 00:00:00,60.42
2018-02-01 00:00:00,65.92
2018-03-01 00:00:00,60.94
2018-04-01 00:00:00,62.98
2018-05-01 00:00:00,67.25
2018-06-01 00:00:00,65.82
2018-07-01 00:00:00,73.94
2018-08-01 00:00:00,67.66
2018-09-01 00:00:00,69.8
2018-10-01 00:00:00,75.3
2018-11-01 00:00:00,63.69
2018-12-01 00:00:00,52.95
2019-01-01 00:00:00,45.13
2019-02-01 00:00:00,55.26
2019-03-01 00:00:00,55.8
2019-04-01 00:00:00,61.59
2019-05-01 00:00:00,63.6
2019-06-01 00:00:00,53.25
2019-07-01 00:00:00,58.87
2019-08-01 00:00:00,53.95
2019-09-01 00:00:00,55.1
2019-10-01 00:00:00,53.62
2019-11-01 00:00:00,56
2019-12-01 00:00:00,55.96
2020-01-01 00:00:00,61.08
2020-02-01 00:00:00,50.11
2020-03-01 00:00:00,46.75
2020-04-01 00:00:00,20.31
2020-05-01 00:00:00,19.78
2020-06-01 00:00:00,35.44
2020-07-01 00:00:00,39.82
2020-08-01 00:00:00,41.01
2020-09-01 00:00:00,42.76
2020-10-01 00:00:00,38.57
2020-11-01 00:00:00,36.63
2020-12-01 00:00:00,44.55
2021-01-01 00:00:00,48.28
2021-02-01 00:00:00,53.53
2021-03-01 00:00:00,60.65
2021-04-01 00:00:00,59.16
2021-05-01 00:00:00,64.49
2021-06-01 00:00:00,67.72
2021-07-01 00:00:00,75.38
2021-08-01 00:00:00,71.26
2021-09-01 00:00:00,68.82
2021-10-01 00:00:00,76.03
2021-11-01 00:00:00,84.05
2021-12-01 00:00:00,65.57
2022-01-01 00:00:00,76.08
2022-02-01 00:00:00,88.2
2022-03-01 00:00:00,103.4
2022-04-01 00:00:00,99.27
2022-05-01 00:00:00,105.17
2022-06-01 00:00:00,115.26
2022-07-01 00:00:00,109.95
2022-08-01 00:00:00,96.64
2022-09-01 00:00:00,87.11
2022-10-01 00:00:00,84.08
2022-11-01 00:00:00,88.37
2022-12-01 00:00:00,81.12
2023-01-01 00:00:00,80.23
2023-02-01 00:00:00,76.41
2023-03-01 00:00:00,77.59
2023-04-01 00:00:00,80.42
2023-05-01 00:00:00,75.66
2023-06-01 00:00:00,70.1
2023-07-01 00:00:00,69.79
2023-08-01 00:00:00,81.37
2023-09-01 00:00:00,85.55
2023-10-01 00:00:00,88.82
2023-11-01 00:00:00,81.04
2023-12-01 00:00:00,73.72
2024-01-01 00:00:00,71.89
2024-02-01 00:00:00,74.36
2024-03-01 00:00:00,80.9
2024-04-01 00:00:00,84.54
2024-05-01 00:00:00,80.7
